Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Control_DTR_099717_10,Control_DTR_099717_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_009104_13,Control_DTR_009104_13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_663535_4,Control_DTR_663535_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_595291_12,Control_DTR_595291_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_371629_4,Mini_DTR_371629_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Refseq_YP_009884410.1,Refseq_YP_009884410.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_264123_19,Control_DTR_264123_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_578679_1,Mini_DTR_578679_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_056025_8,Control_DTR_056025_8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
Control_DTR_441307_12,Control_DTR_441307_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_701409_10,Mini_DTR_701409_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_344823_1,Mini_DTR_344823_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_818132_6,Control_DTR_818132_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_205929_1,Control_DTR_205929_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_294267_22,Control_DTR_294267_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_415995_3,Mini_DTR_415995_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_112549_7,Control_DTR_112549_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_357829_1,Mini_DTR_357829_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_263100_1,Mini_DTR_263100_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_267702_17,Control_DTR_267702_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_433962_3,Control_DTR_433962_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_240923_8,Mini_DTR_240923_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_317921_10,Control_DTR_317921_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_334236_7,Control_DTR_334236_7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_198658_9,Mini_DTR_198658_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_123149_10,Control_DTR_123149_10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Mini_DTR_256758_1,Mini_DTR_256758_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_496100_11,Mini_DTR_496100_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_053375_13,Control_DTR_053375_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_655782_5,Control_DTR_655782_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_406075_11,Mini_DTR_406075_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_468826_5,Control_DTR_468826_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_330540_8,Control_DTR_330540_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_657824_4,Micro_DTR_657824_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_056529_15,Control_DTR_056529_15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Control_DTR_809152_9,Control_DTR_809152_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_075084_1,Control_DTR_075084_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_478164_14,Control_DTR_478164_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_770808_7,Mini_DTR_770808_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_662587_10,Mini_DTR_662587_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_022902_4,Mini_DTR_022902_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_263477_1,Control_DTR_263477_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_133318_2,Mini_DTR_133318_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mini_DTR_858835_4,Mini_DTR_858835_4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_387911_3,Mini_DTR_387911_3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_410947_11,Control_DTR_410947_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_156066_12,Mini_DTR_156066_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_838660_7,Mini_DTR_838660_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_568067_1,Mini_DTR_568067_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_616326_12,Mini_DTR_616326_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_711633_17,Control_DTR_711633_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_744758_20,Control_DTR_744758_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_053579_4,Control_DTR_053579_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_313410_17,Control_DTR_313410_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_432726_9,Control_DTR_432726_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_300201_3,Control_DTR_300201_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_310598_7,Mini_DTR_310598_7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Control_DTR_687427_14,Control_DTR_687427_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_868114_15,Control_DTR_868114_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_405159_5,Mini_DTR_405159_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
