Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Mini_DTR_523947_5,Mini_DTR_523947_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_643395_16,Control_DTR_643395_16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_597616_9,Control_DTR_597616_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_892417_9,Control_DTR_892417_9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_111099_1,Mini_DTR_111099_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Control_DTR_311303_5,Control_DTR_311303_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_300176_23,Control_DTR_300176_23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_144590_1,Mini_DTR_144590_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_415565_2,Control_DTR_415565_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_583346_6,Control_DTR_583346_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_287109_8,Control_DTR_287109_8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Control_DTR_099678_2,Control_DTR_099678_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_878417_17,Control_DTR_878417_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_202400_18,Control_DTR_202400_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_177286_9,Control_DTR_177286_9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_293195_8,Control_DTR_293195_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_330594_1,Control_DTR_330594_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_552000_20,Control_DTR_552000_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_410906_21,Control_DTR_410906_21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_194887_1,Control_DTR_194887_1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Mini_DTR_015222_1,Mini_DTR_015222_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_891713_18,Control_DTR_891713_18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Micro_DTR_825593_3,Micro_DTR_825593_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mini_DTR_524254_7,Mini_DTR_524254_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_141853_18,Control_DTR_141853_18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Control_DTR_029648_10,Control_DTR_029648_10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mini_DTR_672116_11,Mini_DTR_672116_11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_499197_11,Mini_DTR_499197_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_164333_5,Mini_DTR_164333_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_887541_15,Control_DTR_887541_15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_297884_1,Control_DTR_297884_1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Control_DTR_141862_6,Control_DTR_141862_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_111873_11,Mini_DTR_111873_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_233706_10,Control_DTR_233706_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_833160_2,Control_DTR_833160_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_605977_4,Mini_DTR_605977_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_086868_17,Control_DTR_086868_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_075082_12,Control_DTR_075082_12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mini_DTR_508808_6,Mini_DTR_508808_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_141861_8,Control_DTR_141861_8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_531772_7,Mini_DTR_531772_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_277084_12,Control_DTR_277084_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_125648_7,Control_DTR_125648_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_677504_16,Control_DTR_677504_16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Control_DTR_315459_12,Control_DTR_315459_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_112546_28,Control_DTR_112546_28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_285879_5,Mini_DTR_285879_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_264261_13,Control_DTR_264261_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_872783_12,Control_DTR_872783_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_364416_9,Control_DTR_364416_9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
Control_DTR_311890_15,Control_DTR_311890_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_616027_8,Mini_DTR_616027_8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_621082_7,Control_DTR_621082_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_297386_3,Mini_DTR_297386_3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Control_DTR_103561_11,Control_DTR_103561_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_238604_17,Control_DTR_238604_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_578757_12,Mini_DTR_578757_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_515256_1,Micro_DTR_515256_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mini_DTR_563370_2,Mini_DTR_563370_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_747061_5,Mini_DTR_747061_5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_208653_1,Mini_DTR_208653_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_308262_11,Mini_DTR_308262_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_167322_11,Mini_DTR_167322_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_742751_1,Micro_DTR_742751_1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Micro_DTR_529619_1,Micro_DTR_529619_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Control_DTR_272300_5,Control_DTR_272300_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_399916_2,Control_DTR_399916_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_799579_19,Control_DTR_799579_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_309258_13,Mini_DTR_309258_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_648821_7,Control_DTR_648821_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_317702_8,Control_DTR_317702_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_308645_9,Control_DTR_308645_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_176117_13,Control_DTR_176117_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_078632_8,Mini_DTR_078632_8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Control_DTR_233895_22,Control_DTR_233895_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_318828_1,Control_DTR_318828_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_153531_24,Control_DTR_153531_24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_860306_9,Control_DTR_860306_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_773255_5,Micro_DTR_773255_5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Control_DTR_075608_16,Control_DTR_075608_16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Mini_DTR_651706_11,Mini_DTR_651706_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_843919_6,Control_DTR_843919_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_676339_3,Micro_DTR_676339_3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
Mini_DTR_670634_6,Mini_DTR_670634_6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_798369_16,Control_DTR_798369_16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_842455_13,Control_DTR_842455_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_285874_18,Control_DTR_285874_18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Control_DTR_497051_4,Control_DTR_497051_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_382297_10,Control_DTR_382297_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_540221_14,Control_DTR_540221_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_260418_10,Control_DTR_260418_10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_643080_7,Mini_DTR_643080_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_063996_10,Control_DTR_063996_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_807671_10,Mini_DTR_807671_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_833319_2,Mini_DTR_833319_2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Control_DTR_717378_17,Control_DTR_717378_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_461196_4,Control_DTR_461196_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_305057_15,Control_DTR_305057_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_312520_20,Control_DTR_312520_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_719659_13,Control_DTR_719659_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_719332_8,Control_DTR_719332_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_369170_12,Control_DTR_369170_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_263575_10,Control_DTR_263575_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_610665_1,Mini_DTR_610665_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_685689_16,Mini_DTR_685689_16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_291262_12,Mini_DTR_291262_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_262041_11,Mini_DTR_262041_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_680166_4,Control_DTR_680166_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_233705_22,Control_DTR_233705_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_172398_7,Control_DTR_172398_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_330284_17,Control_DTR_330284_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_046162_14,Control_DTR_046162_14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_667928_12,Mini_DTR_667928_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_357669_8,Control_DTR_357669_8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_139151_1,Mini_DTR_139151_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_448921_3,Control_DTR_448921_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_571610_4,Mini_DTR_571610_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_137462_29,Control_DTR_137462_29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Control_DTR_314495_9,Control_DTR_314495_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_293656_14,Control_DTR_293656_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_692874_6,Control_DTR_692874_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_671953_17,Control_DTR_671953_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_785540_20,Control_DTR_785540_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_623112_15,Control_DTR_623112_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_233482_1,Control_DTR_233482_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_330595_3,Control_DTR_330595_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_308646_9,Control_DTR_308646_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_696250_1,Mini_DTR_696250_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_238331_9,Mini_DTR_238331_9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Control_DTR_788307_11,Control_DTR_788307_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_195375_1,Mini_DTR_195375_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_381438_10,Control_DTR_381438_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_457753_7,Mini_DTR_457753_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_096704_12,Control_DTR_096704_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_142904_3,Control_DTR_142904_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_721870_18,Control_DTR_721870_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_183491_1,Mini_DTR_183491_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_658689_3,Control_DTR_658689_3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Control_DTR_702746_14,Control_DTR_702746_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_196699_26,Control_DTR_196699_26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_183466_17,Control_DTR_183466_17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_416398_9,Control_DTR_416398_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_819828_5,Mini_DTR_819828_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_698367_16,Control_DTR_698367_16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_102425_8,Control_DTR_102425_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_448419_4,Control_DTR_448419_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_657818_12,Control_DTR_657818_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_769160_8,Control_DTR_769160_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_400789_12,Control_DTR_400789_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_288364_20,Control_DTR_288364_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mini_DTR_573972_8,Mini_DTR_573972_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_267635_7,Mini_DTR_267635_7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_593252_11,Control_DTR_593252_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_302120_1,Control_DTR_302120_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_012667_4,Control_DTR_012667_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_703158_8,Control_DTR_703158_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_123792_6,Control_DTR_123792_6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Mini_DTR_250521_9,Mini_DTR_250521_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_889249_1,Mini_DTR_889249_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_718285_7,Control_DTR_718285_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_012549_9,Control_DTR_012549_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_029917_9,Control_DTR_029917_9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Control_DTR_207850_2,Control_DTR_207850_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_255641_2,Mini_DTR_255641_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_696245_2,Mini_DTR_696245_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_385862_3,Mini_DTR_385862_3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Control_DTR_052833_10,Control_DTR_052833_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_242101_8,Mini_DTR_242101_8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_315168_27,Control_DTR_315168_27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_024296_1,Mini_DTR_024296_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_308714_11,Mini_DTR_308714_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_868597_1,Mini_DTR_868597_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_416267_7,Mini_DTR_416267_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_779700_10,Control_DTR_779700_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_263455_3,Control_DTR_263455_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_075612_13,Mini_DTR_075612_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_605894_5,Micro_DTR_605894_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_106013_8,Mini_DTR_106013_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_201646_10,Control_DTR_201646_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_397093_14,Control_DTR_397093_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_309461_7,Mini_DTR_309461_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_702830_15,Control_DTR_702830_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_839598_9,Control_DTR_839598_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_355778_3,Control_DTR_355778_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_846934_5,Control_DTR_846934_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_625978_10,Mini_DTR_625978_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_612390_22,Control_DTR_612390_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_300199_14,Control_DTR_300199_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_848521_12,Control_DTR_848521_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_806832_2,Control_DTR_806832_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_787895_3,Mini_DTR_787895_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_317327_2,Control_DTR_317327_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_743242_17,Mini_DTR_743242_17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_608812_7,Mini_DTR_608812_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_812724_22,Control_DTR_812724_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_314497_19,Control_DTR_314497_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_032304_23,Control_DTR_032304_23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_309457_21,Control_DTR_309457_21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_514795_17,Control_DTR_514795_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_432644_13,Mini_DTR_432644_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_642689_15,Control_DTR_642689_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_152004_13,Control_DTR_152004_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_397125_1,Control_DTR_397125_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_833096_22,Control_DTR_833096_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_744721_24,Control_DTR_744721_24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_673333_7,Control_DTR_673333_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_551906_5,Mini_DTR_551906_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_807300_3,Mini_DTR_807300_3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_306100_12,Mini_DTR_306100_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_103101_5,Control_DTR_103101_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_313409_18,Control_DTR_313409_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_729700_17,Mini_DTR_729700_17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_077787_5,Mini_DTR_077787_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_313412_13,Control_DTR_313412_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_011528_14,Control_DTR_011528_14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_268174_11,Control_DTR_268174_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_673219_2,Control_DTR_673219_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_662589_5,Mini_DTR_662589_5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Control_DTR_316919_8,Control_DTR_316919_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_812498_18,Control_DTR_812498_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_285289_21,Control_DTR_285289_21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_330282_3,Control_DTR_330282_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_262726_22,Control_DTR_262726_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_005710_1,Mini_DTR_005710_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_189925_4,Control_DTR_189925_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_015206_8,Control_DTR_015206_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_264171_19,Control_DTR_264171_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_704595_7,Control_DTR_704595_7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_315285_12,Control_DTR_315285_12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Control_DTR_290392_3,Control_DTR_290392_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_659527_9,Control_DTR_659527_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_309073_6,Mini_DTR_309073_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_608742_6,Mini_DTR_608742_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_242932_12,Mini_DTR_242932_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_615017_18,Control_DTR_615017_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_162079_18,Control_DTR_162079_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_370818_10,Control_DTR_370818_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_166829_4,Control_DTR_166829_4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mini_DTR_604311_2,Mini_DTR_604311_2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_308555_12,Control_DTR_308555_12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mini_DTR_497289_4,Mini_DTR_497289_4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_841970_8,Mini_DTR_841970_8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
