"group1","group2","pair_id","n1","n2","mean1","mean2","median1","median2","diff_mean","diff_mean_lo","diff_mean_hi","diff_median","diff_median_lo","diff_median_hi","cliffs_delta","delta_lo","delta_hi","prob_superiority","p_perm_median","p_perm_median_BH","p_perm_median_Holm","p_primary","primary_method","sig_primary","p_primary_stars","delta_mag"
"Fringe","ENC_3","ENC_3__Fringe",11,4,85.7418181818182,98.78,92.94,99.11,-13.0381818181818,-24.52075,-5.442625,-6.17,-8.02,-4.31,-1,-1,-1,0,0.0606,0.0717631578947368,0.4848,NA,NA,FALSE,NA,"large"
"Fringe","ENC_4","ENC_4__Fringe",11,14,85.7418181818182,79.1057142857143,92.94,80,6.6361038961039,-5.73430357142857,17.6208685064935,12.94,9.935,15.01,0.415584415584416,-0.0912337662337657,0.857142857142857,0.707792207792208,0.0442,0.05525,0.4498,0.975,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","medium"
"Refseq","PICIs","PICIs__Refseq",910,66,84.0305494505494,66.8521212121212,89.85,72.42,17.1784282384282,13.0243827922078,21.3346572843823,17.43,16.8,20.92,0.591808191808192,0.494396853146853,0.677908757908758,0.795904095904096,2e-04,9e-04,0.009,7.58e-10,"Games-Howell (rstatix) [p.adj returned]",TRUE,"****","large"
"Refseq","ENC_1","ENC_1__Refseq",910,55,84.0305494505494,86.1816363636364,89.85,94.01,-2.15108691308693,-6.08789712787214,1.9594446053946,-4.16000000000001,-4.82000000000001,-1.56950000000001,-0.18001998001998,-0.336655844155844,-0.00710739260739268,0.40999000999001,0.0052,0.00975,0.1144,0.976,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","small"
"Refseq","ENC_2","ENC_2__Refseq",910,31,84.0305494505494,69.9441935483871,89.85,77.22,14.0863559021623,9.69475013293159,18.7753649680964,12.63,10.93975,34.18,0.635448422545197,0.549698688408366,0.716980680609713,0.817724211272598,0.001,0.00214285714285714,0.025,2.09e-05,"Games-Howell (rstatix) [p.adj returned]",TRUE,"****","large"
"Refseq","ENC_3","ENC_3__Refseq",910,4,84.0305494505494,98.78,89.85,99.11,-14.7494505494506,-16.0275837912088,-13.3684370879121,-9.26,-9.985375,-7.36962500000001,-0.946703296703297,-1,-0.841717032967033,0.0266483516483517,0.211,0.231585365853659,1,NA,NA,FALSE,NA,"large"
"Refseq","ENC_4","ENC_4__Refseq",910,14,84.0305494505494,79.1057142857143,89.85,80,4.92483516483514,-0.912260439560434,12.2764925824176,9.84999999999999,7.135,11.530375,0.298979591836735,-0.0260694662480376,0.550951726844584,0.649489795918367,0.0302,0.04246875,0.441,0.893,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","small"
"PICIs","ENC_1","ENC_1__PICIs",66,55,66.8521212121212,86.1816363636364,72.42,94.01,-19.3295151515151,-24.9875757575758,-13.5764575757576,-21.59,-25.1705,-19.1,-0.653994490358127,-0.807754820936639,-0.481487603305785,0.173002754820937,2e-04,9e-04,0.009,2.42e-08,"Games-Howell (rstatix) [p.adj returned]",TRUE,"****","large"
"PICIs","ENC_2","ENC_2__PICIs",66,31,66.8521212121212,69.9441935483871,72.42,77.22,-3.09207233626587,-9.08983553274683,2.98077651515151,-4.8,-8.43937499999999,16.42,-0.219941348973607,-0.494147116324536,0.0694037145650048,0.390029325513196,0.0366,0.0484411764705882,0.4498,0.985,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","small"
"PICIs","ENC_3","ENC_3__PICIs",66,4,66.8521212121212,98.78,72.42,99.11,-31.9278787878788,-36.3177727272727,-27.9162159090909,-26.69,-30.265125,-24.83,-1,-1,-1,0,0.0186,0.0279,0.2976,NA,NA,FALSE,NA,"large"
"PICIs","ENC_4","ENC_4__PICIs",66,14,66.8521212121212,79.1057142857143,72.42,80,-12.2535930735931,-19.8280524891775,-3.77692965367965,-7.58,-10.83,-5.92999999999999,-0.612554112554113,-0.859361471861472,-0.287824675324676,0.193722943722944,0.0294,0.04246875,0.441,0.128,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","large"
"ENC_1","ENC_2","ENC_1__ENC_2",55,31,86.1816363636364,69.9441935483871,94.01,77.22,16.2374428152493,10.146676686217,21.8049475073314,16.79,13.59,38.36,0.663343108504399,0.475601173020528,0.824046920821114,0.831671554252199,2e-04,9e-04,0.009,2.24e-05,"Games-Howell (rstatix) [p.adj returned]",TRUE,"****","large"
"ENC_1","ENC_3","ENC_1__ENC_3",55,4,86.1816363636364,98.78,94.01,99.11,-12.5983636363636,-16.3645636363636,-8.871575,-5.09999999999999,-7.7,-3.24,-0.936363636363636,-1,-0.818181818181818,0.0318181818181818,0.2462,0.257651162790698,1,NA,NA,FALSE,NA,"large"
"ENC_1","ENC_4","ENC_1__ENC_4",55,14,86.1816363636364,79.1057142857143,94.01,80,7.07592207792207,0.0724168831168819,15.2660678571429,14.01,10.065,15.66,0.358441558441558,0.0129220779220779,0.654610389610389,0.679220779220779,0.0172,0.0266896551724138,0.2924,0.719,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","medium"
"ENC_2","ENC_3","ENC_2__ENC_3",31,4,69.9441935483871,98.78,77.22,99.11,-28.8358064516129,-33.2872782258064,-24.6451532258065,-21.89,-43.304,-19.19,-1,-1,-1,0,0.0816,0.0941538461538462,0.5712,NA,NA,FALSE,NA,"large"
"ENC_2","ENC_4","ENC_2__ENC_4",31,14,69.9441935483871,79.1057142857143,77.22,80,-9.16152073732719,-16.2247004608295,-0.483239631336405,-2.78,-24.616,-0.150000000000006,-0.460829493087558,-0.778801843317972,-0.0921658986175116,0.269585253456221,0.0486,0.0591081081081081,0.4498,0.455,"Games-Howell (rstatix) [p.adj returned]",FALSE,"ns","medium"
"ENC_3","ENC_4","ENC_3__ENC_4",4,14,98.78,79.1057142857143,99.11,80,19.6742857142857,13.3939285714286,27.4985357142857,19.11,16.1495,20.89,0.928571428571429,0.714285714285714,1,0.964285714285714,0.0024,0.00469565217391304,0.0552,NA,NA,FALSE,NA,"large"
