"metric","group1","group2","n1","n2","mean1","mean2","median1","median2","higher_mean_group","higher_median_group","diff_mean","diff_mean_lo","diff_mean_hi","diff_median","diff_median_lo","diff_median_hi","cliffs_delta","delta_lo","delta_hi","prob_superiority","delta_mag","p_primary","p_stars","significant","primary_method","p_perm_median","p_perm_median_BH","p_perm_median_Holm"
"enc_perc_fraction","Mini","Fringe",93,1,83.4423443797849,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Mini","ENC_3",93,4,83.4423443797849,100,100,100,"ENC_3","ENC_3",-16.5576556202151,-22.3002621340753,-10.8573156351909,0,0,0,-0.387096774193548,-0.494623655913978,-0.290322580645161,0.306451612903226,"medium",NA,NA,FALSE,NA,1,1,1
"enc_perc_fraction","Control","Fringe",20,1,59.9511326425,100,64.50806003,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Control","ENC_3",20,4,59.9511326425,100,64.50806003,100,"ENC_3","ENC_3",-40.0488673575,-50.4277554527875,-29.1456532585625,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,"large",NA,NA,FALSE,NA,0.122,0.232909090909091,1
"enc_perc_fraction","Fringe","Refseq",1,17,100,51.0680268488235,100,52.78998243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Fringe","ENC_1",1,55,100,98.9832850638182,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Fringe","ENC_2",1,31,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Fringe","ENC_3",1,4,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Fringe","ENC_4",1,14,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
"enc_perc_fraction","Refseq","ENC_3",17,4,51.0680268488235,100,52.78998243,100,"ENC_3","ENC_3",-48.9319731511765,-54.2845742362794,-43.8693059501912,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,"large",NA,NA,FALSE,NA,0.0052,0.01365,0.078
"enc_perc_fraction","ENC_1","ENC_3",55,4,98.9832850638182,100,100,100,"ENC_3","ENC_3",-1.01671493618181,-1.60284511672727,-0.468810766649996,0,0,0,-0.2,-0.309090909090909,-0.109090909090909,0.4,"small",NA,NA,FALSE,NA,1,1,1
"enc_perc_fraction","ENC_2","ENC_3",31,4,100,100,100,100,"ENC_3","ENC_3",0,0,0,0,0,0,0,0,0,0.5,"negligible",NA,NA,FALSE,NA,1,1,1
"enc_perc_fraction","ENC_3","ENC_4",4,14,100,100,100,100,"ENC_4","ENC_4",0,0,0,0,0,0,0,0,0,0.5,"negligible",NA,NA,FALSE,NA,1,1,1
