"metric","group1","group2","n1","n2","mean1","mean2","median1","median2","higher_mean_group","higher_median_group","diff_mean","diff_mean_lo","diff_mean_hi","diff_median","diff_median_lo","diff_median_hi","cliffs_delta","delta_lo","delta_hi","prob_superiority","delta_mag","p_primary","p_stars","significant","primary_method","p_perm_median","p_perm_median_BH","p_perm_median_Holm"
"percentage_phage_coat","Control","PICIs",798,66,57.0520050125313,66.8521212121212,59.73,72.42,"PICIs","PICIs",-9.80011619958989,-13.8403793574846,-5.22095750740488,-12.69,-16.305,-7.89850000000001,-0.345978582820688,-0.473510006075796,-0.211909033948508,0.327010708589656,"medium",0.001,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",0.0118,0.0189642857142857,0.2124
"percentage_phage_coat","Micro","Fringe",45,11,56.6848888888889,85.7418181818182,59.76,92.94,"Fringe","Fringe",-29.0569292929293,-38.548201010101,-16.9747595959596,-33.18,-49.43,-29.08,-0.725252525252525,-0.971717171717172,-0.345454545454545,0.137373737373737,"large",0.003,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",8e-04,0.0018,0.024
"percentage_phage_coat","Mini","ENC_4",491,14,60.4322606924644,79.1057142857143,62.63,80,"ENC_4","ENC_4",-18.6734535932499,-24.9941069246436,-11.3660396784987,-17.37,-20.25,-15.29,-0.62089031131801,-0.783539423916206,-0.400901949374455,0.189554844340995,"large",0.003,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",0.0088,0.0146666666666667,0.1672
"percentage_phage_coat","Micro","ENC_2",45,31,56.6848888888889,69.9441935483871,59.76,77.22,"ENC_2","ENC_2",-13.2593046594982,-19.7676270609319,-7.0732224014337,-17.46,-34.54,-6.71,-0.493906810035842,-0.703225806451613,-0.258745519713262,0.253046594982079,"large",0.005,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",0.0072,0.0124615384615385,0.144
"percentage_phage_coat","Control","Fringe",798,11,57.0520050125313,85.7418181818182,59.73,92.94,"Fringe","Fringe",-28.6898131692869,-36.4820937571201,-17.2386996468444,-33.21,-36.685,-28.49,-0.701982228298018,-0.886534518113466,-0.421041239462292,0.149008885850991,"large",0.005,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",4e-04,0.00128571428571429,0.014
"percentage_phage_coat","Mini","ENC_2",491,31,60.4322606924644,69.9441935483871,62.63,77.22,"ENC_2","ENC_2",-9.51193285592273,-14.062813399251,-4.59977623020826,-14.59,-16.77,6.6905,-0.318901517640102,-0.494264502989291,-0.14353196242034,0.340549241179949,"small",0.009,"**",TRUE,"Games-Howell (rstatix) [p.adj returned]",6e-04,0.0018,0.0186
"percentage_phage_coat","Mini","Fringe",491,11,60.4322606924644,85.7418181818182,62.63,92.94,"Fringe","Fringe",-25.3095574893538,-33.2643620162933,-14.3310560544344,-30.31,-31.65,-28.56,-0.659137196815405,-0.860035178670617,-0.365256433993705,0.170431401592298,"large",0.012,"*",TRUE,"Games-Howell (rstatix) [p.adj returned]",8e-04,0.0018,0.024
"percentage_phage_coat","Micro","PICIs",45,66,56.6848888888889,66.8521212121212,59.76,72.42,"PICIs","PICIs",-10.1672323232323,-16.3750247474747,-3.26597979797979,-12.66,-28.57,-8.9,-0.492929292929293,-0.689595959595959,-0.276750841750842,0.253535353535354,"large",0.059,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",2e-04,9e-04,0.009
"percentage_phage_coat","Mini","Control",491,798,60.4322606924644,57.0520050125313,62.63,59.73,"Mini","Mini",3.38025567993304,1.28752986080272,5.64400700388956,2.9,-1.66025,6.67,0.0858306662787314,0.0230245292457212,0.150366560494924,0.542915333139366,"negligible",0.074,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.04,0.0514285714285714,0.4498
"percentage_phage_coat","Fringe","PICIs",11,66,85.7418181818182,66.8521212121212,92.94,72.42,"Fringe","Fringe",18.889696969697,7.52530303030304,27.6565189393939,20.52,18.83,23.33,0.702479338842975,0.31129476584022,1,0.851239669421488,"large",0.081,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",4e-04,0.00128571428571429,0.014
"percentage_phage_coat","PICIs","ENC_4",66,14,66.8521212121212,79.1057142857143,72.42,80,"ENC_4","ENC_4",-12.2535930735931,-19.8280524891775,-3.77692965367965,-7.58,-10.83,-5.92999999999999,-0.612554112554113,-0.859361471861472,-0.287824675324676,0.193722943722944,"large",0.128,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0294,0.04246875,0.441
"percentage_phage_coat","Mini","PICIs",491,66,60.4322606924644,66.8521212121212,62.63,72.42,"PICIs","PICIs",-6.41986051965686,-10.6910351555268,-1.7392392921064,-9.79,-11,-5.85700000000002,-0.296241436770968,-0.425145806332161,-0.167649509350121,0.351879281614516,"small",0.132,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",8e-04,0.0018,0.024
"percentage_phage_coat","Fringe","ENC_2",11,31,85.7418181818182,69.9441935483871,92.94,77.22,"Fringe","Fringe",15.7976246334311,4.19074413489737,25.2849296187683,15.72,13.19,37.28,0.700879765395894,0.266862170087977,1,0.850439882697947,"large",0.203,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0346,0.0471818181818182,0.4498
"percentage_phage_coat","ENC_2","ENC_4",31,14,69.9441935483871,79.1057142857143,77.22,80,"ENC_4","ENC_4",-9.16152073732719,-16.2247004608295,-0.483239631336405,-2.78,-24.616,-0.150000000000006,-0.460829493087558,-0.778801843317972,-0.0921658986175116,0.269585253456221,"medium",0.455,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0486,0.0591081081081081,0.4498
"percentage_phage_coat","ENC_1","ENC_4",55,14,86.1816363636364,79.1057142857143,94.01,80,"ENC_1","ENC_1",7.07592207792207,0.0724168831168819,15.2660678571429,14.01,10.065,15.66,0.358441558441558,0.0129220779220779,0.654610389610389,0.679220779220779,"medium",0.719,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0172,0.0266896551724138,0.2924
"percentage_phage_coat","Micro","Mini",45,491,56.6848888888889,60.4322606924644,59.76,62.63,"Mini","Mini",-3.74737180357548,-8.64076433582258,1.33567183751979,-2.87,-19.13,1.12,-0.167594478388776,-0.324464811043222,0.00140868974881193,0.416202760805612,"small",0.885,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.146,0.16425,0.876
"percentage_phage_coat","Refseq","ENC_4",910,14,84.0305494505494,79.1057142857143,89.85,80,"Refseq","Refseq",4.92483516483514,-0.912260439560434,12.2764925824176,9.84999999999999,7.135,11.530375,0.298979591836735,-0.0260694662480376,0.550951726844584,0.649489795918367,"small",0.893,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0302,0.04246875,0.441
"percentage_phage_coat","Fringe","ENC_4",11,14,85.7418181818182,79.1057142857143,92.94,80,"Fringe","Fringe",6.6361038961039,-5.73430357142857,17.6208685064935,12.94,9.935,15.01,0.415584415584416,-0.0912337662337657,0.857142857142857,0.707792207792208,"medium",0.975,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0442,0.05525,0.4498
"percentage_phage_coat","Refseq","ENC_1",910,55,84.0305494505494,86.1816363636364,89.85,94.01,"ENC_1","ENC_1",-2.15108691308693,-6.08789712787214,1.9594446053946,-4.16000000000001,-4.82000000000001,-1.56950000000001,-0.18001998001998,-0.336655844155844,-0.00710739260739268,0.40999000999001,"small",0.976,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0052,0.00975,0.1144
"percentage_phage_coat","PICIs","ENC_2",66,31,66.8521212121212,69.9441935483871,72.42,77.22,"ENC_2","ENC_2",-3.09207233626587,-9.08983553274683,2.98077651515151,-4.8,-8.43937499999999,16.42,-0.219941348973607,-0.494147116324536,0.0694037145650048,0.390029325513196,"small",0.985,"ns",FALSE,"Games-Howell (rstatix) [p.adj returned]",0.0366,0.0484411764705882,0.4498
